Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Car_Age
Mercedes,S,2019,Gulf Arabic,Black,Semi Full,3.5,Gas,Automatic,80000,Riyadh,355000.0,6
Toyota,Land Cruiser,2018,Saudi,White,Full,5.7,Gas,Automatic,126000,Jeddah,260000.0,7
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,101000,Jeddah,260000.0,6
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,38000,Jeddah,248000.0,6
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,52000,Jeddah,248000.0,6
Toyota,Land Cruiser,2020,Saudi,White,Full,4.6,Gas,Automatic,59000,Jeddah,248000.0,5
Toyota,Land Cruiser Pickup,2016,Saudi,Another Color,Full,4.0,Gas,Manual,26000,Jeddah,115000.0,9
Hyundai,Tucson,2018,Saudi,Grey,Semi Full,2.0,Gas,Automatic,60000,Jeddah,70000.0,7
Hyundai,Sonata,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,125000,Jeddah,57000.0,7
Hyundai,Elantra,2018,Saudi,Grey,Standard,1.6,Gas,Automatic,144000,Jeddah,45000.0,7
Toyota,Camry,2014,Saudi,Red,Semi Full,2.5,Gas,Automatic,117000,Jeddah,43000.0,11
Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,98000,Jeddah,35000.0,7
Toyota,Yaris,2018,Saudi,Grey,Standard,1.5,Gas,Automatic,68000,Jeddah,35000.0,7
Hyundai,Accent,2018,Saudi,Silver,Standard,1.4,Gas,Automatic,96000,Jeddah,34000.0,7
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,127000,Jeddah,33000.0,7
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,120000,Jeddah,32000.0,7
Hyundai,Sonata,2019,Saudi,White,Standard,2.4,Gas,Automatic,94000,Riyadh,58500.0,6
Lexus,UX,2020,Gulf Arabic,White,Full,2.0,Gas,Automatic,10000,Dammam,176000.0,5
Mercedes,C,2017,Other,White,Full,2.0,Gas,Automatic,54000,Dammam,153000.0,8
Toyota,Land Cruiser,2019,Saudi,White,Full,5.7,Gas,Automatic,6000,Dammam,298000.0,6
Hyundai,Elantra,2018,Other,White,Standard,1.6,Diesel,Automatic,45000,Riyadh,54000.0,7
Toyota,Camry,2019,Saudi,White,Standard,2.5,Gas,Automatic,124004,Riyadh,65000.0,6
Mazda,CX3,2020,Saudi,Blue,Standard,2.0,Gas,Automatic,14501,Riyadh,66000.0,5
Ford,Taurus,2018,Saudi,Black,Standard,2.0,Gas,Automatic,78508,Riyadh,65000.0,7
Peugeot,308,2012,Saudi,Navy,Standard,3.5,Gas,Automatic,290000,Jubail,12000.0,13
Honda,Accord,2017,Saudi,Navy,Full,3.5,Gas,Automatic,25400,Jeddah,90000.0,8
Lexus,ES,2016,Gulf Arabic,Golden,Semi Full,1.6,Gas,Automatic,12472,Dammam,91200.0,9
Nissan,Sunny,2011,Saudi,White,Standard,1.4,Gas,Automatic,108000,Riyadh,19000.0,14
Chevrolet,Silverado,2019,Saudi,White,Full,5.3,Gas,Automatic,33000,Tabouk,170000.0,6
Ford,Expedition,2016,Gulf Arabic,Black,Full,3.5,Gas,Automatic,100000,Qassim,98000.0,9
Lexus,ES,2016,Other,White,Full,3.5,Gas,Automatic,103000,Jeddah,102000.0,9
Hyundai,Senta fe,2015,Saudi,White,Full,3.3,Gas,Automatic,246000,Khobar,60000.0,10
Honda,MR-V,2003,Saudi,White,Semi Full,3.5,Gas,Automatic,480000,Riyadh,17500.0,22
Toyota,Ciocca,2013,Other,Black,Full,5.7,Gas,Automatic,53000,Riyadh,90000.0,12
Toyota,Land Cruiser,2020,Saudi,White,Semi Full,4.0,Gas,Automatic,10000,Jazan,200000.0,5
MG,RX5,2020,Saudi,Silver,Full,2.0,Gas,Automatic,7855,Riyadh,65500.0,5
Jeep,Compass,2019,Saudi,Brown,Semi Full,2.4,Gas,Automatic,43834,Riyadh,66000.0,6
Ford,Edge,2016,Saudi,Black,Standard,3.5,Gas,Automatic,105344,Riyadh,66500.0,9
Hyundai,Azera,2016,Saudi,White,Full,3.0,Gas,Automatic,91747,Riyadh,66500.0,9
Kia,Carnival,2015,Gulf Arabic,Silver,Full,3.3,Gas,Automatic,34200,Al-Ahsa,50000.0,10
Kia,Rio,2019,Saudi,Red,Standard,1.4,Gas,Automatic,17500,Al-Ahsa,37000.0,6
Ford,Marquis,2009,Saudi,Blue,Semi Full,4.0,Gas,Automatic,377000,Al-Ahsa,21000.0,16
Hyundai,Sonata,2018,Saudi,White,Semi Full,2.4,Gas,Automatic,78000,Riyadh,63000.0,7
Nissan,Z370,2020,Saudi,Grey,Full,3.7,Gas,Manual,3000,Dammam,129000.0,5
Peugeot,Partner,2016,Saudi,White,Standard,1.6,Gas,Manual,114000,Dammam,22000.0,9
Chevrolet,Camaro,2017,Other,Red,Full,2.0,Gas,Automatic,81633,Riyadh,120000.0,8
Chevrolet,Tahoe,2020,Saudi,Black,Semi Full,5.3,Gas,Automatic,67000,Riyadh,176000.0,5
Nissan,Sunny,2018,Saudi,White,Semi Full,1.5,Gas,Automatic,58244,Riyadh,30000.0,7
Audi,A8,2016,Saudi,Bronze,Full,3.0,Gas,Automatic,42000,Dammam,165000.0,9
Ford,Taurus,2016,Other,White,Semi Full,3.5,Gas,Automatic,108000,Dammam,79000.0,9
Toyota,Yaris,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,134000,Jeddah,36000.0,7
Hyundai,Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,91000,Riyadh,30000.0,8
Chevrolet,Malibu,2015,Saudi,Red,Full,2.4,Gas,Automatic,175500,Khobar,32000.0,10
Toyota,Prado,2011,Saudi,White,Standard,2.7,Gas,Automatic,263000,Khobar,55000.0,14
Ford,Mustang,2019,Other,Red,Full,2.3,Gas,Automatic,52000,Riyadh,139000.0,6
Ford,Taurus,2016,Other,White,Full,3.5,Gas,Automatic,91815,Riyadh,86000.0,9
Mitsubishi,Pajero,2017,Saudi,White,Semi Full,3.5,Gas,Automatic,161709,Riyadh,66500.0,8
Hyundai,Kona,2020,Saudi,White,Standard,2.0,Gas,Automatic,10239,Riyadh,66500.0,5
Mazda,6,2018,Saudi,Red,Standard,2.5,Gas,Automatic,68263,Riyadh,66500.0,7
Nissan,Armada,2006,Saudi,Black,Full,5.6,Gas,Automatic,184000,Jeddah,30000.0,19
Jaguar,X Type,2006,Saudi,Navy,Full,3.5,Gas,Automatic,200000,Riyadh,30000.0,19
Chevrolet,Tahoe,2010,Saudi,Silver,Full,5.8,Gas,Automatic,340000,Tabouk,40000.0,15
Toyota,Ciocca,2013,Saudi,White,Standard,5.7,Gas,Automatic,114000,Al-Medina,89000.0,12
Toyota,Yaris,2016,Saudi,White,Standard,1.4,Gas,Automatic,128000,Dammam,25000.0,9
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,555555,Riyadh,73000.0,8
Kia,Rio,2016,Saudi,White,Standard,1.4,Gas,Automatic,237000,Dammam,21000.0,9
Ford,Taurus,2015,Other,Brown,Full,3.5,Gas,Automatic,104000,Dammam,74000.0,10
Toyota,Ciocca,2015,Saudi,Silver,Semi Full,5.7,Gas,Automatic,85000,Dammam,125000.0,10
Ford,Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,84000,Dammam,72000.0,12
Kia,Sportage,2016,Other,White,Standard,2.0,Diesel,Automatic,55000,Riyadh,68000.0,9
GMC,Yukon,2008,Saudi,Black,Semi Full,1.6,Gas,Automatic,250000,Riyadh,22000.0,17
Cadillac,CT-S,2011,Saudi,Another Color,Full,3.0,Gas,Automatic,101000,Yanbu,40000.0,14
Toyota,Previa,2004,Other,Another Color,Semi Full,1.0,Gas,Automatic,300,Dammam,12000.0,21
Mazda,6,2020,Saudi,White,Standard,2.5,Gas,Automatic,78000,Riyadh,76000.0,5
Chevrolet,Lumina,2008,Saudi,Black,Semi Full,3.6,Gas,Automatic,205000,Dammam,12000.0,17
Chrysler,C300,2005,Saudi,Black,Full,5.7,Gas,Automatic,275000,Dammam,18000.0,20
Toyota,Camry,2017,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,119550,Riyadh,66500.0,8
Toyota,Furniture,2015,Saudi,Black,Standard,2.7,Gas,Automatic,164277,Riyadh,66500.0,10
Ford,Expedition,2013,Saudi,Grey,Full,5.4,Gas,Manual,225299,Riyadh,66587.0,12
Hyundai,Sonata,2019,Saudi,White,Standard,2.4,Gas,Automatic,49515,Riyadh,68000.0,6
Nissan,Bus Urvan,2010,Gulf Arabic,White,Full,2.7,Gas,Manual,2012,Dammam,14500.0,15
Chevrolet,Suburban,2016,Saudi,Golden,Full,6.2,Gas,Automatic,156000,Dammam,290000.0,9
Ford,Expedition,2013,Other,Grey,Standard,5.4,Gas,Automatic,121000,Riyadh,40000.0,12
Mitsubishi,Pajero,2016,Gulf Arabic,Another Color,Full,3.8,Gas,Automatic,132000,Aseer,63000.0,9
Chevrolet,Malibu,2013,Saudi,White,Full,3.6,Gas,Automatic,177000,Dammam,30000.0,12
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,102000,Dammam,48000.0,6
Chevrolet,Impala,2018,Saudi,Black,Standard,3.6,Gas,Automatic,52000,Riyadh,75000.0,7
Mercedes,S,2018,Saudi,White,Full,4.5,Gas,Automatic,83000,Jeddah,315000.0,7
Chevrolet,Camaro,2017,Other,Red,Full,6.2,Gas,Automatic,116000,Dammam,129000.0,8
Ford,Taurus,2018,Saudi,Another Color,Standard,3.5,Gas,Automatic,63000,Jeddah,80000.0,7
Toyota,Ciocca,2016,Saudi,White,Semi Full,5.7,Gas,Automatic,92000,Dammam,108000.0,9
Ford,Taurus,2017,Saudi,Silver,Standard,3.5,Gas,Automatic,132000,Dammam,65000.0,8
Chevrolet,Impala,2014,Saudi,White,Semi Full,3.6,Gas,Automatic,181000,Riyadh,60000.0,11
Ford,Taurus,2015,Saudi,White,Semi Full,2.5,Gas,Automatic,172000,Jeddah,52000.0,10
Toyota,Furniture,2015,Saudi,White,Standard,2.7,Gas,Automatic,250000,Makkah,55000.0,10
Nissan,Sentra,2018,Gulf Arabic,White,Standard,1.6,Gas,Automatic,97000,Al-Ahsa,39000.0,7
Mercedes,ML,2013,Gulf Arabic,Another Color,Full,5.5,Gas,Automatic,140000,Riyadh,120000.0,12
GMC,Suburban,2005,Saudi,Black,Semi Full,2.4,Gas,Automatic,260000,Al-Medina,20000.0,20
GMC,Sierra,2016,Saudi,Silver,Full,5.7,Gas,Automatic,109000,Dammam,100000.0,9
Honda,Accord,2016,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,106214,Riyadh,67500.0,9
Toyota,Rav4,2017,Saudi,Grey,Standard,2.5,Gas,Automatic,235614,Riyadh,67500.0,8
Nissan,Altima,2018,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,48096,Riyadh,68000.0,7
Hyundai,Accent,2008,Saudi,White,Standard,1.6,Gas,Manual,250000,Qassim,4000.0,17
Lincoln,MKX,2016,Other,White,Full,3.7,Gas,Automatic,99000,Dammam,100000.0,9
Fiat,500,2019,Saudi,Black,Full,1.4,Gas,Automatic,19000,Dammam,70000.0,6
Chevrolet,Malibu,2013,Saudi,Silver,Full,3.6,Gas,Automatic,165000,Dammam,30000.0,12
Chevrolet,Malibu,2016,Saudi,Silver,Semi Full,2.5,Gas,Automatic,203000,Dammam,32000.0,9
Changan,CS35,2019,Saudi,Grey,Full,1.6,Gas,Automatic,150000,Dammam,40000.0,6
Chevrolet,Camaro,2017,Other,Yellow,Full,3.6,Gas,Automatic,118000,Dammam,113000.0,8
Porsche,Macan,2015,Saudi,Another Color,Full,3.5,Gas,Automatic,93000,Jeddah,138000.0,10
Mazda,CX9,2015,Saudi,Silver,Full,3.7,Gas,Automatic,260000,Dammam,63000.0,10
Toyota,Hiace,2016,Saudi,White,Standard,2.4,Gas,Manual,307000,Riyadh,60000.0,9
Toyota,Camry,2018,Saudi,Silver,Standard,2.5,Gas,Automatic,109000,Qassim,80000.0,7
Hyundai,Senta fe,2014,Saudi,Black,Full,1.4,Gas,Automatic,265000,Qassim,52000.0,11
Nissan,Patrol,2020,Saudi,Grey,Full,4.0,Gas,Automatic,26000,Riyadh,235000.0,5
Lexus,ES,2007,Saudi,Another Color,Full,3.5,Gas,Automatic,250000,Al-Namas,25000.0,18
Hyundai,Accent,2015,Saudi,White,Standard,1.4,Gas,Automatic,500000,Jeddah,22000.0,10
Volkswagen,Passat,2014,Saudi,Brown,Standard,2.5,Gas,Automatic,88673,Jeddah,50000.0,11
Isuzu,D-MAX,2018,Saudi,White,Standard,2.5,Diesel,Manual,203957,Riyadh,68500.0,7
Mazda,CX9,2015,Saudi,White,Full,3.7,Gas,Automatic,217162,Riyadh,68500.0,10
Kia,Sorento,2016,Saudi,White,Full,3.5,Gas,Automatic,93914,Riyadh,68500.0,9
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,192692,Riyadh,68500.0,8
Chevrolet,Tahoe,2007,Saudi,Bronze,Semi Full,5.5,Gas,Automatic,450,Jeddah,27500.0,18
Ford,Explorer,2014,Saudi,Black,Standard,3.6,Gas,Automatic,158000,Riyadh,55000.0,11
Lexus,LX,2015,Saudi,White,Full,5.7,Gas,Automatic,105000,Jeddah,213000.0,10
Kia,Cadenza,2016,Other,Another Color,Full,3.0,Gas,Automatic,33212,Qassim,66000.0,9
Lexus,ES,2017,Other,White,Full,3.5,Gas,Automatic,69000,Dammam,142000.0,8
Lexus,GS,2017,Saudi,Bronze,Full,3.5,Gas,Automatic,80000,Dammam,175000.0,8
Isuzu,D-MAX,2014,Saudi,White,Standard,2.5,Diesel,Manual,288000,Dammam,42000.0,11
Chevrolet,Suburban,2019,Saudi,Grey,Standard,5.3,Gas,Automatic,37000,Riyadh,148000.0,6
Lexus,LX,2018,Saudi,Navy,Full,5.7,Gas,Automatic,95000,Jeddah,355000.0,7
Toyota,Yaris,2019,Saudi,Silver,Semi Full,1.5,Gas,Automatic,42628,Dammam,38500.0,6
Mercedes,CLS,2016,Gulf Arabic,Black,Full,3.0,Gas,Automatic,45000,Dammam,168000.0,9
Chevrolet,Camaro,2018,Other,Blue,Full,3.6,Gas,Automatic,79000,Dammam,113000.0,7
Kia,Stinger,2020,Saudi,Grey,Full,3.3,Gas,Automatic,7000,Dammam,160000.0,5
Ford,Taurus,2015,Saudi,White,Standard,2.5,Gas,Automatic,247000,Qassim,55000.0,10
Cadillac,CT-S,2013,Saudi,Blue,Semi Full,3.8,Gas,Automatic,137000,Al-Medina,45000.0,12
Toyota,Land Cruiser,2015,Saudi,White,Full,4.6,Gas,Automatic,264000,Jeddah,140000.0,10
Nissan,Sentra,2014,Saudi,Silver,Semi Full,1.4,Gas,Automatic,165000,Riyadh,18500.0,11
Mitsubishi,Pajero,2018,Gulf Arabic,Golden,Semi Full,3.5,Gas,Automatic,108000,Riyadh,77000.0,7
Audi,A8,2013,Other,Black,Full,4.0,Gas,Automatic,100000,Riyadh,108000.0,12
Toyota,Camry,2016,Saudi,Grey,Semi Full,2.4,Gas,Automatic,77000,Riyadh,63000.0,9
Hyundai,Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,69000,Riyadh,34000.0,8
Toyota,Land Cruiser,2020,Saudi,White,Semi Full,4.0,Gas,Automatic,35000,Riyadh,210000.0,5
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,143594,Riyadh,69000.0,8
Mazda,6,2019,Saudi,Grey,Standard,2.5,Gas,Automatic,64970,Riyadh,69500.0,6
Isuzu,D-MAX,2018,Saudi,White,Standard,2.5,Diesel,Manual,52849,Riyadh,69500.0,7
Hyundai,Sonata,2018,Saudi,Black,Semi Full,2.4,Gas,Automatic,84795,Riyadh,69500.0,7
Chevrolet,Caprice,2015,Saudi,Black,Full,6.0,Gas,Automatic,172000,Riyadh,108000.0,10
Honda,Accord,2016,Gulf Arabic,Red,Semi Full,2.4,Gas,Automatic,80000,Riyadh,69000.0,9
Toyota,Prado,2020,Saudi,White,Semi Full,2.7,Gas,Automatic,5000,Riyadh,153000.0,5
Lexus,IS,2018,Saudi,Black,Semi Full,3.5,Gas,Automatic,131,Riyadh,166000.0,7
Honda,Accord,2017,Gulf Arabic,Blue,Full,2.5,Gas,Automatic,75000,Riyadh,90000.0,8
Ford,Expedition,2017,Gulf Arabic,White,Standard,3.5,Gas,Automatic,90000,Riyadh,97000.0,8
Lexus,ES,2018,Gulf Arabic,Brown,Full,2.4,Gas,Automatic,20000,Riyadh,126000.0,7
Ford,Edge,2017,Gulf Arabic,Blue,Standard,3.5,Gas,Automatic,82000,Riyadh,80000.0,8
Lexus,RX,2016,Saudi,Golden,Full,3.5,Gas,Automatic,104000,Riyadh,148000.0,9
Ford,Flex,2015,Saudi,Grey,Semi Full,3.5,Gas,Automatic,167000,Riyadh,53000.0,10
Nissan,Altima,2017,Saudi,White,Standard,2.5,Gas,Automatic,40000,Riyadh,59000.0,8
Ford,Explorer,2017,Gulf Arabic,White,Standard,3.5,Gas,Automatic,94000,Riyadh,82000.0,8
Ford,Expedition,2016,Saudi,White,Standard,3.5,Gas,Automatic,103000,Riyadh,83000.0,9
Toyota,Hiace,2016,Other,White,Standard,2.7,Gas,Manual,99999,Riyadh,69000.0,9
Chevrolet,Impala,2019,Gulf Arabic,White,Standard,3.5,Gas,Automatic,16000,Riyadh,95000.0,6
Mercedes,C,2017,Other,Black,Full,2.0,Gas,Automatic,86000,Jeddah,105000.0,8
Nissan,Datsun,1984,Saudi,White,Standard,3.5,Gas,Manual,248000,Riyadh,7000.0,41
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,65000,Jeddah,57000.0,7
Honda,Civic,2017,Saudi,Silver,Standard,1.6,Gas,Automatic,122,Jeddah,43000.0,8
Mercedes,Viano,2013,Saudi,Black,Semi Full,3.5,Gas,Automatic,154000,Jeddah,45000.0,12
Hyundai,Senta fe,2016,Saudi,Brown,Standard,3.3,Gas,Automatic,134000,Riyadh,48000.0,9
Toyota,Prado,2013,Saudi,White,Semi Full,3.8,Gas,Manual,186000,Riyadh,55000.0,12
Mazda,CX9,2014,Saudi,White,Semi Full,3.5,Gas,Automatic,123000,Riyadh,42000.0,11
Ford,Taurus,2015,Saudi,Black,Semi Full,3.5,Gas,Automatic,154706,Riyadh,69500.0,10
Nissan,X-Trail,2018,Saudi,Brown,Standard,2.5,Gas,Automatic,30507,Riyadh,69500.0,7
Audi,A3,2016,Saudi,Red,Semi Full,1.4,Gas,Automatic,70278,Riyadh,69500.0,9
Toyota,Innova,2017,Saudi,White,Standard,2.7,Gas,Automatic,57482,Riyadh,69500.0,8
Hyundai,Accent,2014,Other,Another Color,Standard,1.4,Gas,Manual,252000,Taef,20000.0,11
Chevrolet,Tahoe,2015,Saudi,Black,Standard,5.3,Gas,Automatic,121000,Riyadh,92000.0,10
GMC,Yukon,2015,Saudi,Silver,Standard,5.3,Gas,Automatic,170000,Arar,102000.0,10
Hyundai,Sonata,2017,Other,Black,Semi Full,1.7,Diesel,Automatic,82190,Qassim,63000.0,8
Kia,Cores,2015,Saudi,Another Color,Full,3.5,Gas,Automatic,75000,Dammam,75000.0,10
Isuzu,D-MAX,2010,Saudi,White,Standard,2.5,Diesel,Manual,380000,Dammam,29000.0,15
Lexus,IS,2018,Saudi,Another Color,Full,3.5,Gas,Automatic,54000,Jeddah,275000.0,7
Geely,Emgrand,2014,Saudi,Silver,Full,1.6,Gas,Automatic,108800,Dammam,12000.0,11
Audi,S8,2016,Gulf Arabic,White,Full,4.0,Gas,Automatic,42000,Dammam,229000.0,9
Hyundai,Azera,2016,Other,White,Full,3.0,Gas,Automatic,111000,Dammam,86000.0,9
GMC,Yukon,2007,Saudi,Black,Full,5.3,Gas,Automatic,235000,Dammam,65000.0,18
Hyundai,Elantra,2016,Other,White,Standard,1.6,Diesel,Automatic,55000,Riyadh,48000.0,9
Hyundai,Senta fe,2016,Saudi,White,Full,3.3,Gas,Automatic,157000,Al-Ahsa,69000.0,9
Toyota,Rav4,2016,Saudi,Black,Standard,2.5,Gas,Automatic,231000,Jubail,52000.0,9
GMC,Yukon,2016,Saudi,Golden,Semi Full,5.5,Gas,Automatic,145000,Al-Medina,100000.0,9
Toyota,Camry,2017,Saudi,Another Color,Full,2.5,Gas,Automatic,166,Riyadh,55000.0,8
Toyota,Innova,2017,Saudi,White,Standard,2.7,Gas,Automatic,106377,Riyadh,69500.0,8
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,133148,Riyadh,70000.0,8
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,134007,Riyadh,70000.0,8
Hyundai,Kona,2020,Saudi,Grey,Semi Full,2.0,Gas,Automatic,30271,Riyadh,70000.0,5
Hyundai,H1,2016,Saudi,White,Standard,2.4,Gas,Automatic,154000,Al-Ahsa,54000.0,9
Chevrolet,Tahoe,2016,Saudi,Silver,Semi Full,5.3,Gas,Automatic,104000,Al-Ahsa,112000.0,9
Ford,Edge,2017,Saudi,Black,Semi Full,3.5,Gas,Automatic,92000,Riyadh,81000.0,8
Toyota,Land Cruiser,2018,Saudi,White,Full,5.7,Gas,Automatic,142000,Jeddah,245000.0,7
Hyundai,Elantra,2016,Other,White,Full,1.6,Diesel,Automatic,101715,Qassim,52000.0,9
Nissan,Bus Urvan,2009,Saudi,White,Standard,2.5,Gas,Manual,173000,Dammam,25000.0,16
Chevrolet,Caprice,2013,Saudi,Black,Full,5.7,Gas,Automatic,148316,Dammam,65000.0,12
MG,RX8,2020,Saudi,Grey,Semi Full,2.0,Gas,Automatic,19000,Jeddah,88000.0,5
Ford,Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,145000,Riyadh,38000.0,12
Audi,A8,2018,Gulf Arabic,Red,Full,3.0,Gas,Automatic,44500,Dammam,310000.0,7
GMC,Yukon,2019,Saudi,Another Color,Standard,5.3,Gas,Automatic,83000,Jeddah,165000.0,6
Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Automatic,2500,Dammam,105000.0,9
Chevrolet,Tahoe,2012,Saudi,White,Standard,5.3,Gas,Automatic,61000,Jeddah,80000.0,13
Jaguar,XJR,2013,Saudi,Black,Full,3.5,Gas,Automatic,130000,Al-Medina,85000.0,12
Toyota,Land Cruiser,2020,Saudi,Black,Full,4.0,Gas,Automatic,18000,Riyadh,285000.0,5
GMC,Savana,2007,Saudi,Blue,Standard,3.5,Gas,Automatic,63000,Al-Medina,75000.0,18
Toyota,Hilux,1995,Saudi,White,Full,2.4,Gas,Manual,900000,Jeddah,14000.0,30
Toyota,Yaris,2016,Saudi,White,Standard,1.5,Gas,Automatic,119000,Dammam,32000.0,9
Hyundai,Tucson,2018,Saudi,Blue,Standard,2.0,Gas,Automatic,17002,Jeddah,70500.0,7
Honda,Accord,2017,Saudi,Black,Full,2.4,Gas,Automatic,139806,Riyadh,71500.0,8
Toyota,Hilux,2016,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,122084,Riyadh,71500.0,9
Hyundai,Sonata,2018,Saudi,Navy,Semi Full,2.4,Gas,Automatic,65325,Riyadh,71500.0,7
Lexus,ES,2016,Saudi,Bronze,Semi Full,3.4,Gas,Automatic,154000,Dammam,88000.0,9
Ford,Taurus,2016,Other,White,Semi Full,3.5,Gas,Automatic,102000,Dammam,72000.0,9
Dodge,Charger,2015,Other,Blue,Full,5.7,Gas,Automatic,119000,Dammam,105000.0,10
Ford,Taurus,2018,Other,Black,Semi Full,3.5,Gas,Automatic,107000,Dammam,77000.0,7
Mercedes,S,2006,Saudi,White,Full,3.0,Gas,Automatic,435000,Dammam,39000.0,19
Ford,Taurus,2016,Other,Brown,Full,3.5,Gas,Automatic,91000,Dammam,70000.0,9
Toyota,Avalon,2015,Other,White,Semi Full,3.5,Gas,Automatic,80000,Dammam,86000.0,10
Lexus,ES,2016,Other,Another Color,Full,3.5,Gas,Automatic,87000,Dammam,119000.0,9
GMC,Acadia,2014,Saudi,Black,Full,3.6,Gas,Automatic,193000,Dammam,58000.0,11
GMC,Yukon,2014,Saudi,White,Full,5.3,Gas,Automatic,327000,Dammam,77000.0,11
Lexus,RC,2015,Other,White,Full,3.3,Gas,Automatic,139000,Dammam,121000.0,10
Ford,Taurus,2018,Other,Black,Full,3.5,Gas,Automatic,92000,Dammam,93000.0,7
Ford,Mustang,2019,Other,Red,Full,2.3,Gas,Automatic,41000,Dammam,123000.0,6
Ford,Mustang,2016,Gulf Arabic,Yellow,Full,5.0,Gas,Manual,50000,Dammam,127000.0,9
GMC,Yukon,2013,Saudi,Silver,Standard,5.3,Gas,Automatic,292000,Dammam,74000.0,12
Porsche,Panamera,2011,Saudi,Brown,Full,3.0,Gas,Automatic,113000,Dammam,99000.0,14
Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,77000,Dammam,139000.0,7
Cadillac,Escalade,2016,Other,Grey,Full,6.2,Gas,Automatic,114000,Dammam,179000.0,9
Chevrolet,Camaro,2018,Other,Silver,Full,3.6,Gas,Automatic,89000,Dammam,109000.0,7
Ford,Marquis,2010,Other,Silver,Full,5.0,Gas,Automatic,270000,Riyadh,19000.0,15
Mazda,CX9,2016,Other,White,Full,2.5,Gas,Automatic,104000,Dammam,105000.0,9
Cadillac,Escalade,2016,Other,Grey,Full,6.2,Gas,Automatic,114000,Dammam,175000.0,9
Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,19000,Dammam,143000.0,7
Chevrolet,Camaro,2017,Other,Silver,Full,3.6,Gas,Automatic,99000,Dammam,109000.0,8
Chevrolet,Caprice,2015,Saudi,Silver,Standard,6.0,Gas,Automatic,147374,Riyadh,71500.0,10
Audi,A6,2013,Saudi,Grey,Semi Full,3.0,Gas,Automatic,74924,Riyadh,71500.0,12
Lincoln,MKZ,2013,Saudi,Black,Semi Full,3.7,Gas,Automatic,98100,Riyadh,71500.0,12
Hyundai,Sonata,2018,Saudi,Silver,Full,2.4,Gas,Automatic,84315,Riyadh,72500.0,7
Ford,Taurus,2015,Other,Grey,Full,3.5,Gas,Automatic,100000,Dammam,79000.0,10
Chevrolet,Traverse,2016,Other,White,Full,3.5,Gas,Automatic,154000,Dammam,85000.0,9
Chevrolet,Silverado,2018,Saudi,White,Standard,5.3,Gas,Automatic,57000,Dammam,89000.0,7
Ford,Fusion,2015,Saudi,Black,Semi Full,2.5,Gas,Automatic,157000,Dammam,47000.0,10
Ford,Taurus,2015,Other,White,Full,3.5,Gas,Automatic,96000,Dammam,85000.0,10
Ford,Taurus,2018,Other,Black,Semi Full,3.5,Gas,Automatic,100000,Dammam,89000.0,7
Chrysler,S300,2018,Other,Silver,Full,3.6,Gas,Automatic,105000,Dammam,119000.0,7
Chevrolet,Malibu,2016,Saudi,Black,Standard,2.5,Gas,Automatic,170,Riyadh,20000.0,9
INFINITI,QX,2019,Saudi,Grey,Full,3.5,Gas,Automatic,19800,Riyadh,130000.0,6
Hyundai,Elantra,2015,Saudi,Silver,Full,2.0,Gas,Automatic,270000,Jeddah,27000.0,10
Nissan,Armada,2006,Saudi,Navy,Semi Full,5.6,Gas,Automatic,100000,Jeddah,12000.0,19
Toyota,Land Cruiser 70,2019,Saudi,White,Full,1.7,Gas,Manual,89000,Riyadh,90000.0,6
Chevrolet,Blazer,2015,Saudi,Silver,Standard,3.5,Gas,Automatic,180000,Jubail,40000.0,10
Mitsubishi,Pajero,2016,Saudi,Brown,Semi Full,3.5,Gas,Automatic,122000,Riyadh,50000.0,9
